Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Movie Theater Butter Natural Flavor,023896800219,,6.24,0,Market Basket,21 oz,21 oz,X4958.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Home Style Butter Natural Flavor,023896178646,,6.24,0,Market Basket,38 oz,38 oz,X4959.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Butter Natural Flavor,023896498508,,4.74,0,Market Basket,19.2 oz,19.2 oz,X4960.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Movie Theater Butter Natural Flavor,023896577005,,4.74,0,Market Basket,19.20 oz,19.20 oz,X4961.jpg,,19,,,,,,,
"Chips, Cookies & Snacks",Chips & Fruit Snacks,Popcorn,Pop Secret ,Pop Secret Movie Theater Butter Natural Flavor,023896800219,,6.24,0,Market Basket,21 oz,21 oz,X4962.jpg,,19,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale,,Canada Dry Ginger Ale,1.24,0,Market Basket,2 L,2 L,16560.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale Box of Cans,,Canada Dry Ginger Ale Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16559.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Diet Ginger Ale,,Canada Dry Diet Ginger Ale,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0494.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale Box of Cans,,Canada Dry Ginger Ale Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,16604.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Diet Ginger Ale,,Canada Dry Diet Ginger Ale,1.24,0,Market Basket,2 L,2 L,16615.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Market Basket,Market Basket Ginger Ale,,Market Basket Ginger Ale,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Market Basket,Market Basket Ginger Ale,,Market Basket Ginger Ale,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Polar,Polar Premium Ginger Ale Cans,,Polar Premium Ginger Ale Cans,4.99,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0654.jpg,,11,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Polar,Polar Diet Ginger Ale Cans,,Polar Diet Ginger Ale Cans,4.99,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0655.jpg,,11,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Polar,Polar Zero Sugar Ginger Ale Soda,,Polar Zero Sugar Ginger Ale Soda,1.74,0,Market Basket,2 L,2 L,bcs0658.jpg,,11,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Schweppes,Schweppes Diet Ginger Ale,,Schweppes Diet Ginger Ale,2.5,0,Market Basket,2 L,2 L,16594.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Schweppes,Schweppes Diet Ginger Ale Box of Cans,,Schweppes Diet Ginger Ale Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3970.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Schweppes,Schweppes Ginger Ale Box of Cans,,Schweppes Ginger Ale Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0545.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Schweppes,Schweppes Ginger Ale,,Schweppes Ginger Ale,2.5,0,Market Basket,2 L,2 L,3969.jpg,,17,,,,,,,
Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Schweppes,Schweppes Ginger Ale Box of Cans,,Schweppes Ginger Ale Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0549.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Canada Dry,Canada Dry Original Sparkling Seltzer Water,,Canada Dry Original Sparkling Seltzer Water,4.18,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3268.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Canada Dry,Canada Dry Peach Mango Sparkling Seltzer Water,,Canada Dry Peach Mango Sparkling Seltzer Water,4.18,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0590.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Market Basket,Market Basket Seltzer,,Market Basket Seltzer,1.24,0,Market Basket,2 L,2 L,Market Basket.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Lime Seltzer,,Polar Lime Seltzer,1.24,0,Market Basket,2 L,2 L,No Image.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Ruby Red Grapefruit Seltzer,,Polar Ruby Red Grapefruit Seltzer,1.24,0,Market Basket,2 L,2 L,bcs0645.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Raspberry Lime Seltzer,,Polar Raspberry Lime Seltzer,1.24,0,Market Basket,2 L,2 L,bcs0646.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Lemon Seltzer,,Polar Lemon Seltzer,1.24,0,Market Basket,2 L,2 L,bcs0647.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Original Seltzer,,Polar Original Seltzer,1.24,0,Market Basket,2 L,2 L,bcs0648.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Cranberry Seltzer,,Polar Cranberry Seltzer,1.24,0,Market Basket,2 L,2 L,bcs0649.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Polar,Polar Seltzer Calorie free Raspberry Lime,,Polar Seltzer Calorie free Raspberry Lime,1.74,0,Market Basket,2 L,2 L,3208.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Schweppes,Schweppes Black Cherry Sparkling Seltzer Water,,Schweppes Black Cherry Sparkling Seltzer Water,4.99,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3249.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Seltzer,Schweppes,Schweppes Sparkling Seltzer Water,,Schweppes Sparkling Seltzer Water,4.99,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,18039.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,7 up,7 Up Lemon Lime,,7 Up Lemon Lime,2.11,0,Market Basket,2 L,2 L,bcs0550.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,7 up,7 Up Diet Lemon Lime,,7 Up Diet Lemon Lime,2.11,0,Market Basket,2 L,2 L,bcs0551.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,7 up,7 Up Diet Cherry,,7 Up Diet Cherry,2.11,0,Market Basket,2 L,2 L,bcs0552.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,7 up,7 Up Diet Lemon Lime Box of Cans,,7 Up Diet Lemon Lime Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0556.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,7 up,7 Up Lemon Lime Box of Cans,,7 Up Lemon Lime Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0557.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,7 up,7 Up Cherry Box of Cans,,7 Up Cherry Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0558.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Barq's,Barq's Diet Root Beer Box of Cans,,Barq's Diet Root Beer Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16587.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Barq's,Barq's Root Beer,,Barq's Root Beer,1.24,0,Market Basket,2 L,2 L,16633.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Brisk,Brisk Lemon Iced Tea,,Brisk Lemon Iced Tea,2.5,0,Market Basket,2 L,2 L,16580.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Brisk,Brisk Lemon Iced Tea Box of Cans,,Brisk Lemon Iced Tea Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0493.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca Cola,Coca Cola Diet Coke,,Coca Cola Diet Coke,1.24,0,Market Basket,2 L,2 L,16564.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca Cola,Coca Cola Diet Coke,,Coca Cola Diet Coke,1.49,0,Market Basket,42.2 fl oz,42.2 fl oz,bcs0500.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Caffeine Free Diet Coke,,Coca Cola Caffeine Free Diet Coke,1.24,0,Market Basket,2 L,2 L,3938.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Cherry Flavored,,Coca Cola Cherry Flavored,1.24,0,Market Basket,2 L,2 L,3942.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Zero Sugar Box of Cans,,Coca Cola Zero Sugar Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0502.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Original Taste,,Coca Cola Original Taste,1.24,0,Market Basket,2 L,2 L,3937.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Original Taste,,Coca Cola Original Taste,1.49,0,Market Basket,42.2 fl oz,42.2 fl oz,bcs0503.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Original Taste Box of Cans,,Coca Cola Original Taste Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0507.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Original Taste Box of Cans,,Coca Cola Original Taste Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0508.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Zero Sugar Box of Cans,,Coca Cola Zero Sugar Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0509.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Zero Sugar Diet Coke Box of Cans,,Coca Cola Zero Sugar Diet Coke Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0510.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Caffeine Free Box of Cans,,Coca Cola Caffeine Free Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0511.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Caffeine Free Diet Coke Box of Cans,,Coca Cola Caffeine Free Diet Coke Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0512.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Coca-Cola,Coca Cola Vanilla Box of Cans,,Coca Cola Vanilla Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3945.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Crush,Crush Grape Soda,,Crush Grape Soda,2.5,0,Market Basket,2 L,2 L,16602.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Crush,Crush Orange Diet Soda,,Crush Orange Diet Soda,2.5,0,Market Basket,2 L,2 L,16628.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Crush,Crush Orange Soda,,Crush Orange Soda,2.5,0,Market Basket,2 L,2 L,bcs0516.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Crush,Crush Pineapple Soda,,Crush Pineapple Soda,2.5,0,Market Basket,2 L,2 L,bcs0518.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Dr Pepper,Dr Pepper Original Soda,,Dr Pepper Original Soda,1.24,0,Market Basket,2 L,2 L,bcs0519.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Dr Pepper,Dr Pepper Diet Soda,,Dr Pepper Diet Soda,1.24,0,Market Basket,2 L,2 L,bcs0520.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Dr Pepper,Diet Dr. Pepper Soda Box of Cans,,Diet Dr. Pepper Soda Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16591.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Dr Pepper,Dr Pepper Diet Soda,,Dr Pepper Diet Soda,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16573.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fanta,Fanta Orange Soda Box of Cans,,Fanta Orange Soda Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16583.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fanta,Fanta Orange Soda,,Fanta Orange Soda,1.24,0,Market Basket,2 L,2 L,16605.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fanta,Fanta Orange Zero Sugar,,Fanta Orange Zero Sugar,1.24,0,Market Basket,2 L,2 L,bcs0524.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fanta,Fanta Grape Soda,,Fanta Grape Soda,1.24,0,Market Basket,2 L,2 L,bcs0525.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fanta,Fanta Strawberry Soda,,Fanta Strawberry Soda,1.24,0,Market Basket,2 L,2 L,bcs0526.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fanta,Fanta Pineapple Soda,,Fanta Pineapple Soda,1.24,0,Market Basket,2 L,2 L,bcs0527.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fresca,Fresca Sparkling Soda Water Grapefruit Citrus Original,,Fresca Sparkling Soda Water Grapefruit Citrus Original,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0528.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Fresca,Fresca Original Citrus Soda Sparkling Flavored Soft Drink Zero Calorie And Sugar Free,,Fresca Original Citrus Soda Sparkling Flavored Soft Drink Zero Calorie And Sugar Free,1.24,0,Market Basket,2 L,2 L,16603.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Green Cola,Green Cola No Sugar,,Green Cola No Sugar,2.5,0,Market Basket,67.6 fl oz,67.6 fl oz,bcs0498.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Club Soda,,Market Basket Club Soda,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Cola,,Market Basket Cola,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Diet Cola,,Market Basket Diet Cola,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Diet Orange Soda,,Market Basket Diet Orange Soda,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Diet Soda,,Market Basket Diet Soda,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Orange Soda,,Market Basket Orange Soda,1.1,0,Market Basket,2 L,2 L,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Club Soda,,Market Basket Club Soda,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Cola,,Market Basket Cola,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Diet Cola,,Market Basket Diet Cola,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Diet Orange Soda,,Market Basket Diet Orange Soda,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Diet Soda,,Market Basket Diet Soda,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Market Basket,Market Basket Orange Soda,,Market Basket Orange Soda,3.75,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,Market Basket.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Minute Maid,Minute Maid Lemonade Made with Real Lemons,,Minute Maid Lemonade Made with Real Lemons,1.24,0,Market Basket,2 L,2 L,16613.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mountain Dew,Mountain Dew Box of Cans,,Mountain Dew Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0531.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mountain Dew,Mountain Dew Box of Cans,,Mountain Dew Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0532.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mountain Dew,Mountain Dew Box of Cans,,Mountain Dew Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0533.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mountain Dew,Mountain Dew Original,,Mountain Dew Original,2.5,0,Market Basket,2 L,2 L,3959.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mountain Dew,Mountain Dew Code Red Cherry,,Mountain Dew Code Red Cherry,2.5,0,Market Basket,2 L,2 L,bcs0534.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Moxie,Moxie Soda Box of Cans,,Moxie Soda Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0492.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mug,Mug Root Beer Box of Cans,,Mug Root Beer Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16625.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Mug,Mug Root Beer Soda,,Mug Root Beer Soda,2.5,0,Market Basket,2 L,2 L,16574.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Box of Cans,,Pepsi Diet Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16585.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Caffeine Free Box of Cans,,Pepsi Caffeine Free Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3914.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Wild Cherry Box of Cans,,Pepsi Wild Cherry Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3932.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Original Box of Cans,,Pepsi Original Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0535.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Box of Cans,,Pepsi Diet Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0536.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Original,,Pepsi Original,2.5,0,Market Basket,2 L,2 L,3918.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Caffeine Free,,Pepsi Diet Caffeine Free,2.5,0,Market Basket,2 L,2 L,bcs0537.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Caffeine Free,,Pepsi Caffeine Free,2.5,0,Market Basket,2 L,2 L,bcs0538.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Wild Cherry,,Pepsi Wild Cherry,2.5,0,Market Basket,2 L,2 L,bcs0539.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Real Sugar Box of Cans,,Pepsi Real Sugar Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3927.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet,,Pepsi Diet,2.5,0,Market Basket,2 L,2 L,3919.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Diet Wild Cherry Box of Cans,,Pepsi Diet Wild Cherry Box of Cans,4.38,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3928.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Max Zero Sugar Cola,,Pepsi Max Zero Sugar Cola,2.5,0,Market Basket,2 L,2 L,3915.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Pepsi,Pepsi Zero Sugar Box of Cans,,Pepsi Zero Sugar Box of Cans,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,3931.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Diet Orange Dry,,Polar Diet Orange Dry,2.11,0,Market Basket,2 L,2 L,bcs0650.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Black Cherry Soda Cans,,Polar Black Cherry Soda Cans,4.99,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0653.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Pineapple Flavored Soda,,Polar Pineapple Flavored Soda,1.74,0,Market Basket,2 L,2 L,bcs0656.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Diet Pomegranate Dry Soda,,Polar Diet Pomegranate Dry Soda,1.74,0,Market Basket,2 L,2 L,bcs0657.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Cream Soda,,Polar Cream Soda,1.74,0,Market Basket,2 L,2 L,bcs0659.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Polar,Polar Diet Pink Grapefruit Dry,,Polar Diet Pink Grapefruit Dry,2.11,0,Market Basket,2 L,2 L,bcs0661.jpg,,11,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sierra Mist,Sierra Mist Flavored Soda Lemon Lime Caffeine Free,,Sierra Mist Flavored Soda Lemon Lime Caffeine Free,5.63,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16639.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sierra Mist,"Sierra Mist Lemon Lime Flavored Soda, Caffeine Free",,"Sierra Mist Lemon Lime Flavored Soda, Caffeine Free",2.5,0,Market Basket,2 L,2 L,16649.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Soda No Caffeine,,Sprite Lemon Lime Soda No Caffeine,1.24,0,Market Basket,2 L,2 L,16570.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Zero Sugar Soda,,Sprite Lemon Lime Zero Sugar Soda,1.24,0,Market Basket,2 L,2 L,16572.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Lime Soda No Caffeine Box of Cans,,Sprite Lemon Lime Soda No Caffeine Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,bcs0561.jpg,,17,,,,,,,
Beverages & Juices,Soft Drinks & Seltzers,Soft Drinks,Sprite,Sprite Lemon Zero Sugar Lime Soda Box of Cans,,Sprite Lemon Zero Sugar Lime Soda Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0562.jpg,,17,,,,,,,
